"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0,-5.042652306,-7.115899185,4.990219711,-9.190964586,NA,NA,11.55914675,NA,-9.5337023,NA,6.37341014,NA,-9.33481084,NA,4.785807361,-8.734799525,NA,NA,NA,3.929903891,-9.29143896,-10.52634233,-2.774618677,21.73781029,1.917049906,NA,NA,4.262708422,NA,-1.286810998,3.141670668,-22.41858189,NA,NA,NA,-15.10567636,1.4560805635
"2",-5.042652306,0,-5.239526716,4.101418876,-1.349348796,-2.141383183,5.185860464,1.820827482,3.568581256,11.97076765,-1.066014263,-4.735547822,-3.119972444,-6.233105646,-9.807276417,3.491097425,4.89959405,-3.198115412,-7.564126857,-4.710864332,-1.177994214,-5.232170296,-8.993707413,5.150428105,10.10258046,0.228512597,-22.07509333,-10.74498217,-12.52732318,16.48392844,13.68925526,3.521040008,11.95335623,-13.17469848,-34.89296572,-99.70601119,1.384761141,-7.794220194
"3",-7.115899185,-5.239526716,0,11.003313356,-18.820814,-8.638057918,-2.384871794,39.042686625,2.880823872,-24.27417292,-4.413613169,-3.41903346,-147.6170918,-19.31689367,2.438693871,6.715873907,0.911322776,3.863004584,-17.97365095,-1.336018518,13.42618929,0.333092937,5.594045573,5.069249584,20.04664176,0.642930938,-10.94954528,-3.249016354,9.284719847,-2.356416866,-10.55821782,-11.39252389,0.795244755,10.18189896,-20.93263176,-19.15332801,10.34112577,39.397318185
"4",4.990219711,4.101418876,11.003313356,0,5.427119447,42.18142697,13.71675676,58.28804452,17.92397233,15.93107648,-12.16392394,30.39517847,-11.80792927,2.728926654,-12.84994994,16.84654471,19.21988424,6.781962299,-31.96671719,4.811919556,42.73329203,5.283234187,-4.527918302,7.394628464,64.79024972,15.23748978,-1.632216753,-12.35477142,34.18933049,17.14897502,4.898983102,10.80001785,1.091384813,1.793275212,-2.378667641,-212.4597872,-3.603399049,18.62736039
"5",-9.190964586,-1.349348796,-18.820814,5.427119447,0,-13.66824762,7.375214311,-203.7000358,-2.321992868,-21.38269258,-12.7654294,-6.601665315,-11.27577628,-41.08430335,-12.89049632,-3.79714331,0.803290901,-7.733340214,-26.14593871,-15.14251668,-4.261548093,-7.112623424,-4.951219182,-0.352533679,7.383791385,9.643132625,-16.01517651,-20.10145532,-0.524368166,-7.15582119,-10.49909452,-11.42714897,-26.3835498,-17.17711556,-30.33070495,-257.759711,-19.28257639,-18.10129902
"6",NA,-2.141383183,-8.638057918,42.18142697,-13.66824762,0,NA,5.139639037,NA,-11.78334128,NA,-11.59287646,NA,-14.84048435,NA,2.045858346,-6.743798977,NA,NA,NA,-6.460278074,-6.633564616,-7.487608923,3.738683236,1.919495453,-4.11060028,NA,NA,3.348930193,NA,-25.78553809,-10.18796425,-35.45029363,NA,NA,NA,-20.82674627,7.976696691
"7",NA,5.185860464,-2.384871794,13.71675676,7.375214311,NA,0,1.447081653,NA,-3.64729825,NA,-7.063968146,NA,-1.437948727,NA,1.724860944,-2.369833365,NA,NA,NA,0.415551629,-1.195498474,-1.774150127,4.521096285,8.58586167,4.066164062,NA,NA,3.499275662,NA,4.626549236,2.588225779,-7.478013592,NA,NA,NA,0.560533907,-8.207760148
"8",11.55914675,1.820827482,39.042686625,58.28804452,-203.7000358,5.139639037,1.447081653,0,3.083911945,33.30649066,3.810626248,21.80651781,-183.3295713,33.69553393,-3.987010915,-58.21245074,2.494787665,-7.933967421,-16.42572955,16.97534112,38.73707855,-7.354246793,11.33847901,16.11154326,56.75221701,22.55935303,-23.76712751,6.490523212,74.787982,19.50797808,25.37151937,28.32645801,-9.342896723,-14.48832753,-6.921767338,4.440150966,-2.167924311,47.52933073
"9",NA,3.568581256,2.880823872,17.92397233,-2.321992868,NA,NA,3.083911945,0,6.521491494,NA,-1.824167112,NA,-9.378163033,NA,2.227162334,5.871082111,NA,NA,NA,3.070318571,2.45012678,2.23473485,4.881867877,19.76775278,6.766338308,NA,NA,-8.836728154,NA,7.666184066,7.642834623,-0.810553212,NA,NA,NA,3.372589408,-1.793103802
"10",-9.5337023,11.97076765,-24.27417292,15.93107648,-21.38269258,-11.78334128,-3.64729825,33.30649066,6.521491494,0,-15.25648904,14.23459108,-19.11703449,-12.48833358,-15.36621631,4.72022092,23.25698178,14.05069915,-13.65265379,-10.82729701,12.91859829,9.302046015,-12.95214228,-6.964543084,12.50578132,9.618640476,-21.34586637,-16.90000215,6.151301868,-4.550322411,-0.020053889,4.77588836,-6.16634452,-16.75045261,-31.19458031,-16.26098577,-34.89534561,-160.1475902
"11",NA,-1.066014263,-4.413613169,-12.16392394,-12.7654294,NA,NA,3.810626248,NA,-15.25648904,0,4.906909855,NA,-23.6318948,NA,-0.63390415,12.68106737,NA,NA,NA,4.81202667,6.017014593,-2.940606275,2.406882163,-9.720468871,6.148063929,NA,NA,2.690885811,NA,-13.26867902,-15.54788956,4.387484235,NA,NA,NA,-2.429277099,4.149598761
"12",6.37341014,-4.735547822,-3.41903346,30.39517847,-6.601665315,-11.59287646,-7.063968146,21.80651781,-1.824167112,14.23459108,4.906909855,0,-164.2668412,0.055246156,-7.201435891,12.21917197,-11.44323053,-10.73994038,0.398054462,-64.09209522,28.34092689,-17.90054438,-6.630228417,12.09509246,40.58409884,3.611325777,-27.97151102,-1.629292482,6.803954485,53.28600154,3.924209761,6.89550823,-8.72888978,29.76010548,14.02364341,5.792306842,-17.01664381,10.59252115
"13",NA,-3.119972444,-147.6170918,-11.80792927,-11.27577628,NA,NA,-183.3295713,NA,-19.11703449,NA,-164.2668412,0,-14.08747051,NA,4.029315202,-167.5463503,NA,NA,NA,-168.9394512,4.393916352,-148.8888175,15.02519485,-146.9487222,-134.2947319,NA,NA,9.039242436,NA,-116.1653965,-98.62741446,4.960331855,NA,NA,NA,-2.473733052,13.64690864
"14",-9.33481084,-6.233105646,-19.31689367,2.728926654,-41.08430335,-14.84048435,-1.437948727,33.69553393,-9.378163033,-12.48833358,-23.6318948,0.055246156,-14.08747051,0,-24.63521431,5.258978645,-2.922766874,-14.94304843,-33.84375306,-17.16566917,-0.12464385,-13.18961957,-14.19073386,2.166875018,0.690113044,-2.667509381,-15.15007571,-20.03735849,8.712921682,1.716218652,-0.314813933,-6.556924997,-25.69200386,-17.97647101,-24.91058246,-277.8941379,-47.95872443,-11.01680765
"15",NA,-9.807276417,2.438693871,-12.84994994,-12.89049632,NA,NA,-3.987010915,NA,-15.36621631,NA,-7.201435891,NA,-24.63521431,0,-9.931812705,-6.580298208,NA,NA,NA,-8.183363369,-11.52303894,-9.858593922,-6.328733724,-12.59156029,-5.804342875,NA,NA,-4.726960438,NA,-13.32617529,-8.306713763,-9.582933246,NA,NA,NA,1.707362319,8.6775270335
"16",4.785807361,3.491097425,6.715873907,16.84654471,-3.79714331,2.045858346,1.724860944,-58.21245074,2.227162334,4.72022092,-0.63390415,12.21917197,4.029315202,5.258978645,-9.931812705,0,19.48751103,6.495839425,-10.00780232,-19.23517194,18.66691529,5.578592275,0.787613994,-0.014129706,25.10262104,3.887381305,-0.428246271,8.291662367,12.20574328,11.11154137,7.013397652,3.793585187,1.245310847,15.45840401,22.60535378,-101.7144172,13.35294045,3.458853901
"17",-8.734799525,4.89959405,0.911322776,19.21988424,0.803290901,-6.743798977,-2.369833365,2.494787665,5.871082111,23.25698178,12.68106737,-11.44323053,-167.5463503,-2.922766874,-6.580298208,19.48751103,0,-8.834417466,-10.46864132,15.33674994,-4.966550289,-2.079720796,-2.082029032,8.907899394,6.251808062,-2.776892505,-25.85661344,-0.194377333,11.76876656,58.04697124,3.851215666,1.442376804,2.177052566,23.14219149,-10.5428104,0.58205272,-15.53314237,7.67172984
"18",NA,-3.198115412,3.863004584,6.781962299,-7.733340214,NA,NA,-7.933967421,NA,14.05069915,NA,-10.73994038,NA,-14.94304843,NA,6.495839425,-8.834417466,0,NA,NA,-1.218947703,-10.31186256,-1.660529461,8.12611208,8.257169786,7.339023632,NA,NA,-12.91235215,NA,7.386728861,2.791097149,-7.064671021,NA,NA,NA,-5.788244081,7.508484351
"19",NA,-7.564126857,-17.97365095,-31.96671719,-26.14593871,NA,NA,-16.42572955,NA,-13.65265379,NA,0.398054462,NA,-33.84375306,NA,-10.00780232,-10.46864132,NA,0,NA,-5.176210233,-12.52234819,-13.42669078,-10.98470425,-15.00717349,-9.668439387,NA,NA,-7.422561299,NA,-8.880486582,-17.93498954,-18.38556703,NA,NA,NA,-35.12694508,-10.3582365
"20",NA,-4.710864332,-1.336018518,4.811919556,-15.14251668,NA,NA,16.97534112,NA,-10.82729701,NA,-64.09209522,NA,-17.16566917,NA,-19.23517194,15.33674994,NA,NA,0,3.171893148,-7.358652916,-0.030282503,1.067947244,1.388651251,-1.883283617,NA,NA,15.04242386,NA,-45.6830587,-11.73053798,-2.342069567,NA,NA,NA,-4.938387488,17.962777415
