"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0,-1.583963783,11.45935053,7.931877525,-17.84185108,NA,NA,12.12396034,NA,3.682573248,NA,17.96898601,NA,-1.345401011,NA,6.817916204,9.119946303,NA,NA,NA,16.67190273,1.029582864,1.33186452,8.186654769,12.12565179,12.48131093,NA,NA,-3.443232407,NA,0.326449314,8.795687473,-11.96862443,NA,NA,NA,3.932423451,6.626081706
"2",-1.583963783,0,7.638883942,19.83430639,-7.514837482,16.19671979,2.175712963,10.35648705,11.45032761,3.613008502,9.302015775,-8.248065955,-6.40736852,4.172844076,-0.163878356,11.33085079,0.846035339,-8.285234297,2.35466545,5.043731553,0.412617798,-18.06682227,-14.40390946,21.40714705,4.046984443,2.358565978,-19.8337096,1.437644525,-5.99096109,24.96544956,17.27990593,13.78434213,16.77933683,-5.778245151,-28.21780099,-4.148839186,8.136506422,1.060456966
"3",11.45935053,7.638883942,0,23.04106128,-5.240501085,8.526462242,7.098235274,29.47712099,15.86522953,3.276757735,13.51779233,19.63406633,25.10252076,15.32540434,24.89268877,16.98174819,22.17051952,10.85950913,1.539333827,18.51082886,16.46353318,12.48014009,21.79819028,13.34598779,31.87602611,8.694008143,-2.913415953,10.98619683,11.26424739,13.0589024,1.316248623,6.418197812,15.40639338,4.171316344,16.56310836,-1.616712196,14.17746607,43.18698553
"4",7.931877525,19.83430639,23.04106128,0,-3.01473291,30.80556593,15.36114912,38.85407314,12.98787977,17.33194974,20.25884917,21.03592517,14.78327732,29.76025464,8.555741173,29.13991624,34.99340476,17.32638262,-6.285283318,29.73700353,33.30443585,8.335700942,17.19193478,21.26410648,102.4787821,25.29485648,12.84047587,12.94706682,33.66707617,11.41254518,9.241874515,20.03227489,29.67509151,24.41310053,23.35084878,27.95255894,8.805480455,25.67113205
"5",-17.84185108,-7.514837482,-5.240501085,-3.01473291,0,-10.78724735,-9.525027695,-4.79626446,-7.679437184,-20.94367758,-13.95935897,-20.68908184,-17.8222598,-45.52184568,-10.83625909,-13.1407886,-6.720768094,-9.218056733,-18.47629284,-10.93479689,-17.88266052,-13.40678056,-3.583516463,-16.92233875,-13.51387453,-3.714046448,-10.81822536,-18.64682683,-16.44288365,-12.11596686,-11.40104496,-6.5817428,-18.67739174,-1.498008886,-29.45041491,-25.41493952,-1.495836508,-14.22081134
"6",NA,16.19671979,8.526462242,30.80556593,-10.78724735,0,NA,6.666364941,NA,3.311818877,NA,21.90614798,NA,-9.669846923,NA,-9.772898473,15.61508247,NA,NA,NA,9.335639923,12.66905118,-3.091508635,-4.110728644,22.86833164,-1.968944495,NA,NA,-0.949337012,NA,-12.10473557,7.667370259,-11.9998905,NA,NA,NA,10.72267618,9.281696693
"7",NA,2.175712963,7.098235274,15.36114912,-9.525027695,NA,0,-3.680153221,NA,9.76671991,NA,-5.741127918,NA,-13.0158698,NA,13.30508152,-16.42072751,NA,NA,NA,9.311340302,0.308629082,-13.88910739,15.62004561,15.97502402,-8.234593164,NA,NA,-9.330093025,NA,-13.19055662,5.717941269,17.75268656,NA,NA,NA,7.029118472,10.79198192
"8",12.12396034,10.35648705,29.47712099,38.85407314,-4.79626446,6.666364941,-3.680153221,0,-2.482450866,30.660164,13.10650658,30.71440017,3.717658182,-19.75905096,16.89744434,42.35479652,2.348880982,-0.704147366,-9.38760589,14.89364066,55.61194107,-5.412556344,4.856438571,25.70363031,21.4208594,9.869446693,-24.48169264,10.52375984,-1.793532484,26.88806903,12.66914528,26.17570936,-10.45237754,-13.96532217,0.442708258,-15.86528262,21.55958887,38.13487615
"9",NA,11.45032761,15.86522953,12.98787977,-7.679437184,NA,NA,-2.482450866,0,-1.72979,NA,-6.919186741,NA,-1.401382359,NA,9.845661777,-6.612425733,NA,NA,NA,13.4096852,6.498908953,-7.933259948,12.88361241,14.8554737,7.962707803,NA,NA,4.333966503,NA,9.746837644,17.22275819,11.39487225,NA,NA,NA,12.22720811,14.8303068
"10",3.682573248,3.613008502,3.276757735,17.33194974,-20.94367758,3.311818877,9.76671991,30.660164,-1.72979,0,-19.79281766,13.68510083,13.78149023,-7.45032494,-3.422427634,10.31565127,16.96609204,-12.57454143,-5.336732095,13.07045452,12.41364748,9.917509766,-0.104040789,7.109586961,13.85735314,-0.046774119,0.126429007,3.619045671,-3.210692536,-8.809810938,-6.321733436,15.10046951,15.26761488,10.99981772,-2.471797905,13.32789958,-26.71088213,7.302553139
