"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0,-1.793073865,-32.99061919,-8.321116212,52.48518972,NA,NA,17.56299065,NA,1.110428284,NA,-45.89376066,NA,1.459215723,NA,1.034479697,-55.47026432,NA,NA,NA,-35.31198822,-80.26122358,-54.84820211,-34.44593587,-34.43024988,-46.93608306,NA,NA,22.0330269,NA,-13.50351384,-19.19337264,-8.452318032,NA,NA,NA,9.244860545,-28.69135036
"2",-1.793073865,0,9.337660791,42.00615065,6.953285958,11.81539399,7.918974595,95.96490103,-11.78252869,9.601188954,-23.21115736,52.03256407,26.68015393,16.3961455,1.414056544,-1.895974778,47.31666702,1.131610702,-10.42339192,15.05660513,-2.182475002,16.386952,-10.98094925,-1.685461731,75.5280528,1.228948238,10.52280981,18.26471868,-1.408729086,21.46794278,-6.859831707,6.282131662,52.39294276,-3.889944556,-6.995458184,53.05526747,55.19369824,10.66250321
"3",-32.99061919,9.337660791,0,24.1922954,36.59996851,-7.713255136,0.873981872,56.50941313,-0.763774836,-6.215169685,7.911190038,6.239646189,10.58318215,-14.8467137,6.668480301,5.630714722,8.002231342,5.431691114,-14.68436586,9.511173771,16.57103837,6.053198238,-8.629142265,9.246139176,27.456432,-14.39393188,-6.285232237,0.479277165,14.57129072,13.26136492,-7.593609703,-5.495271697,30.4450859,2.318660946,-16.17330097,2.831154153,20.86958474,42.8606636
"4",-8.321116212,42.00615065,24.1922954,0,72.65026596,1.158500083,0.194617094,65.61774831,6.684942395,-3.605839159,-15.97304518,40.76447271,20.29258749,10.1629953,8.022542742,25.049828,-17.07556739,-0.166196784,-23.31530174,19.65474777,16.83205533,17.69731939,13.11923247,11.76066653,155.2523888,14.43909488,19.49389974,39.96072878,29.66185192,22.36229625,-7.608615921,2.754055288,45.02924651,15.74403461,-15.40433875,82.33127458,55.52670442,23.47580691
"5",52.48518972,6.953285958,36.59996851,72.65026596,0,61.6441241,13.95451539,101.8360377,66.7194975,-10.37374052,-36.63297091,29.00394489,49.13867719,50.83693548,1.557139081,19.18121996,87.45849293,51.00137402,-7.967423776,26.92255382,64.83379718,102.9030202,36.17946125,64.70115627,114.1798682,70.07591401,57.34722023,68.85996267,78.61081827,64.75092073,-20.90589063,24.15870463,64.22626125,21.76637409,-24.78273688,130.1395174,74.16789711,25.58225158
"6",NA,11.81539399,-7.713255136,1.158500083,61.6441241,0,NA,57.59637034,NA,-15.38971734,NA,-12.91358398,NA,-7.310020455,NA,-17.33426569,-22.36100988,NA,NA,NA,-16.99096249,16.62898424,-6.03105686,4.74052002,21.80049825,-18.45202428,NA,NA,-3.140336026,NA,-9.988417928,-3.78948314,-24.53744741,NA,NA,NA,-0.699256102,-3.499512748
"7",NA,7.918974595,0.873981872,0.194617094,13.95451539,NA,0,-16.99645444,NA,20.77980249,NA,-11.81036447,NA,-19.45589953,NA,0.970674747,-14.86962351,NA,NA,NA,11.88256454,22.61680591,-6.419720062,6.675669022,9.842627829,-6.009564026,NA,NA,-14.17603986,NA,-10.82105449,0.041124395,13.10281435,NA,NA,NA,10.37273617,-17.29457907
"8",17.56299065,95.96490103,56.50941313,65.61774831,101.8360377,57.59637034,-16.99645444,0,41.68602521,57.13086584,50.0688705,-112.7046695,85.69462031,90.46363381,7.255845904,68.348704,61.34302396,98.80382093,-14.52161227,75.87390323,88.33317664,113.5542337,90.80406156,90.51750612,113.1061478,46.45779052,43.90040463,107.1762971,88.51099713,89.08812266,-17.64735276,28.38551818,98.75639633,35.84331315,93.43255317,102.4901933,103.9661222,81.67940849
"9",NA,-11.78252869,-0.763774836,6.684942395,66.7194975,NA,NA,41.68602521,0,-18.21498851,NA,-61.22461729,NA,3.145145935,NA,-0.239069088,-17.54874488,NA,NA,NA,-15.12834398,-10.86263142,-14.31317304,-4.832654643,-2.812258447,9.423775143,NA,NA,19.85465639,NA,-13.2551634,15.76334513,-19.78372912,NA,NA,NA,-22.60756124,-7.435476495
"10",1.110428284,9.601188954,-6.215169685,-3.605839159,-10.37374052,-15.38971734,20.77980249,57.13086584,-18.21498851,0,4.856132745,-45.42477831,2.461358782,-22.90589188,-7.815925709,-7.165135344,21.21902965,0.327044371,-21.42852431,1.084367357,13.17617367,-3.847940554,-2.555738146,-0.977044061,15.67888311,-13.13813959,-15.3596008,2.072109236,10.94975755,-4.28061609,-10.49483318,-1.799244366,-43.69350464,1.148705204,-13.02853204,48.62661809,8.409877195,-23.72719533
"11",NA,-23.21115736,7.911190038,-15.97304518,-36.63297091,NA,NA,50.0688705,NA,4.856132745,0,-1.179212026,NA,-39.58944098,NA,-33.3885015,1.207720669,NA,NA,NA,12.82551179,8.315513334,-7.551127035,-6.62379424,16.89800123,-30.17628088,NA,NA,-24.77537839,NA,-9.51380606,-14.56283254,-0.439918414,NA,NA,NA,11.73760282,-4.799551324
"12",-45.89376066,52.03256407,6.239646189,40.76447271,29.00394489,-12.91358398,-11.81036447,-112.7046695,-61.22461729,-45.42477831,-1.179212026,0,24.38717471,-22.21185453,-11.87209492,-9.949130905,-189.4846798,43.26890492,7.930457421,10.94846575,66.78584124,12.57638672,33.17163046,36.21998274,-137.2614159,-26.99508519,-3.014703568,18.00956241,-17.33461973,11.06322839,-7.121315309,-55.64842832,-49.23518266,-2.517627621,19.18790741,28.03624262,55.44928873,-7.71071645
"13",NA,26.68015393,10.58318215,20.29258749,49.13867719,NA,NA,85.69462031,NA,2.461358782,NA,24.38717471,0,-19.47647489,NA,-16.57878303,12.36887928,NA,NA,NA,46.61376899,6.568265169,-0.331740922,27.5905608,41.59139974,-24.803394,NA,NA,-20.58151609,NA,-8.461292512,-15.12080583,-0.207890455,NA,NA,NA,56.83462933,5.316451198
"14",1.459215723,16.3961455,-14.8467137,10.1629953,50.83693548,-7.310020455,-19.45589953,90.46363381,3.145145935,-22.90589188,-39.58944098,-22.21185453,-19.47647489,0,-19.531057,9.577769799,0.354104411,-1.274178944,-37.36078315,-23.87794354,-23.86586022,-2.534506931,-9.004330625,-3.115607334,58.24143384,-5.294988925,10.8174392,1.910998236,18.75389742,-6.443313455,-43.62177115,10.18286653,-16.08640456,-14.63725658,-57.27205328,14.7222725,12.05623999,-36.80066992
"15",NA,1.414056544,6.668480301,8.022542742,1.557139081,NA,NA,7.255845904,NA,-7.815925709,NA,-11.87209492,NA,-19.531057,0,-6.710005064,-22.64524487,NA,NA,NA,1.397784617,-9.398949257,-12.02415985,0.361543727,5.988235577,-12.82298693,NA,NA,2.617508692,NA,-7.198484243,-8.787125917,-1.892225251,NA,NA,NA,4.194007412,3.748951664
"16",1.034479697,-1.895974778,5.630714722,25.049828,19.18121996,-17.33426569,0.970674747,68.348704,-0.239069088,-7.165135344,-33.3885015,-9.949130905,-16.57878303,9.577769799,-6.710005064,0,-1.63553305,-9.647341975,-15.04663061,-19.56791497,9.098357722,3.196085757,-12.67266585,9.860060611,44.80655134,0.97477388,2.842993159,10.73169147,19.53292004,-1.355625504,-25.16985204,4.286658567,8.56758949,7.926594343,-5.810183469,13.91960112,11.96664894,1.660039784
"17",-55.47026432,47.31666702,8.002231342,-17.07556739,87.45849293,-22.36100988,-14.86962351,61.34302396,-17.54874488,21.21902965,1.207720669,-189.4846798,12.36887928,0.354104411,-22.64524487,-1.63553305,0,29.18260978,-2.399747544,14.09791831,71.62214021,2.83617027,20.78015013,36.97077261,92.85066305,9.10815854,-6.865466827,38.39368641,-3.249073837,62.62103329,-23.17492645,8.894806904,14.65631939,4.229528523,6.379169111,11.492822,58.97625807,11.04691111
