cell_line,positive_size,negative_size
A2058,75,508
A2780,60,523
A375,70,513
A427,51,532
CAOV3,94,489
COLO320DM,20,563
DLD1,34,549
EFM192B,48,535
ES2,32,551
HCT116,33,550
HT144,39,544
HT29,44,539
KPL1,62,521
LNCAP,76,507
LOVO,56,527
MDAMB436,26,557
MSTO,111,472
NCIH1650,48,535
NCIH2122,41,542
NCIH23,21,562
NCIH460,51,532
NCIH520,38,545
OCUBM,47,536
OV90,35,548
OVCAR3,85,498
PA1,43,540
RKO,52,531
RPMI7951,25,558
SKMEL30,50,533
SKMES1,49,534
SKOV3,55,528
SW620,31,552
SW837,58,525
T47D,77,506
UACC62,38,545
UWB1289,65,518
UWB1289BRCA1,33,550
VCAP,59,524
ZR751,41,542
